combo,scenario,mode,collect_ns,construct_ns,serialize_ns,decode_ns,discard_ns,output_bytes
combo3,S1,json,9920.5,700.0,769.0,0.0,0.0,442
combo1,S1,binary,1682.0,1119.5,1348.0,1474.0,870.5,303
combo2,S1,summary,257.0,240.0,407.0,0.0,206.5,248
combo2,S1,detailed,257.0,1584.0,1294.5,1727.0,0.0,303
combo4,S1,dropped,18.5,0.0,0.0,0.0,61.0,0
combo4,S1,summary,18.5,1660.5,625.0,0.0,0.0,375
combo4,S1,detailed,18.5,4074.0,0.0,2135.5,0.0,433
combo3,S2,json,13736.0,1703.5,0.0,0.0,0.0,661
combo1,S2,binary,2383.0,1826.5,1558.5,2287.0,935.0,432
combo2,S2,summary,334.0,910.5,379.0,0.0,113.0,339
combo2,S2,detailed,334.0,2295.5,1692.0,2244.5,0.0,432
combo4,S2,dropped,64.5,0.0,0.0,0.0,43.5,0
combo4,S2,summary,64.5,1858.5,750.5,0.0,0.0,466
combo4,S2,detailed,64.5,33019.5,0.0,10724.0,0.0,368
combo3,S3,json,9780.5,1176.5,812.0,0.0,0.0,471
combo1,S3,binary,1782.0,1379.0,1461.5,1875.5,455.5,331
combo2,S3,summary,277.0,583.5,860.0,0.0,161.0,330
combo2,S3,detailed,277.0,1700.5,1277.0,1610.0,0.0,331
combo4,S3,dropped,32.5,0.0,0.0,0.0,43.0,0
combo4,S3,summary,32.5,1694.0,751.5,0.0,0.0,456
combo4,S3,detailed,32.5,4207.0,0.0,1978.5,0.0,461
combo3,S4x10,json,20170.5,3565.5,2079.0,0.0,0.0,1649
combo1,S4x10,binary,4708.5,4566.5,35048.0,14874.5,1427.0,522
combo2,S4x10,summary,2770.5,0.0,337.5,0.0,447.0,304
combo2,S4x10,detailed,2770.5,3834.5,33782.5,15123.5,0.0,522
combo4,S4x10,dropped,305.5,0.0,0.0,0.0,43.0,0
combo4,S4x10,summary,305.5,3273.5,663.5,0.0,0.0,386
combo4,S4x10,detailed,305.5,42948.0,0.0,15861.5,0.0,599
combo3,S4x25,json,36258.5,7744.0,3276.0,0.0,0.0,3464
combo1,S4x25,binary,8867.5,9465.5,46648.5,22991.0,2941.5,832
combo2,S4x25,summary,3762.0,352.0,479.0,0.0,980.5,304
combo2,S4x25,detailed,3762.0,8733.5,44262.5,23027.0,0.0,832
combo4,S4x25,dropped,711.0,0.0,0.0,0.0,43.0,0
combo4,S4x25,summary,711.0,5668.0,626.5,0.0,0.0,386
combo4,S4x25,detailed,711.0,61429.5,0.0,23983.0,0.0,920
